x0,x1,f,F,fr,Fr,f'r,F'r
0.0,0.1,78392,78392,0.0861,0.0861,910574,1.0000
0.1,0.2,223489,301881,0.2454,0.3315,832182,0.9139
0.2,0.3,249682,551563,0.2742,0.6057,608693,0.6685
0.3,0.4,185945,737508,0.2042,0.8099,359011,0.3943
0.4,0.5,102789,840297,0.1129,0.9228,173066,0.1901
0.5,0.6,45914,886211,0.0504,0.9732,70277,0.0772
0.6,0.7,17433,903644,0.0191,0.9924,24363,0.0268
0.7,0.8,5274,908918,0.0058,0.9982,6930,0.0076
0.8,0.9,1366,910284,0.0015,0.9997,1656,0.0018
0.9,1.0,290,910574,0.0003,1.0000,290,0.0003